Section,Section_Description,Attribute,Data_Type,Supported_Values,Description,Example,Requirement,Dependencies,Validation_Rules
Item Information,,width,Number + unit,—,Individual dimension,10 mm,Optional,Provide all three if using individual fields,Units required
Item Information,,height,Number + unit,—,Individual dimension,10 mm,Optional,Provide all three if using individual fields,Units required
Item Information,,weight,Number + unit,—,Product weight,1.5 lb,Required,—,Positive number with unit
Item Information,,age_group,Enum,"newborn, infant, toddler, kids, adult",Target demographic,adult,Optional,—,Lower-case string
Media,Supply visual and rich media assets that represent the product. High-quality images and optional videos or 3D models improve user trust and engagement.,image_link,URL,RFC 1738,Main product image URL,https://example.com/image1.jpg,Required,—,JPEG/PNG; HTTPS preferred
Media,,additional_image_link,URL array,RFC 1738,Extra images,"https://example.com/image2.jpg,…",Optional,—,Comma-separated or array
Media,,video_link,URL,RFC 1738,Product video,https://youtu.be/12345,Optional,—,Must be publicly accessible
Media,,model_3d_link,URL,RFC 1738,3D model,https://example.com/model.glb,Optional,—,GLB/GLTF preferred
Price & Promotions,Define standard and promotional pricing information. These attributes power price display discount messaging and offer comparisons.,price,Number + currency,ISO 4217,Regular price,79.99 USD,Required,—,Must include currency code
Price & Promotions,,sale_price,Number + currency,ISO 4217,Discounted price,59.99 USD,Optional,—,Must be ≤ price
Price & Promotions,,sale_price_effective_date,Date range,ISO 8601,Sale window,2025-07-01 / 2025-07-15,Optional,Required if sale_price provided,Start must precede end
Price & Promotions,,unit_pricing_measure / base_measure,Number + unit,—,Unit price & base measure,16 oz / 1 oz,Optional,—,Both fields required together
Price & Promotions,,pricing_trend,String,—,Lowest price in N months,Lowest price in 6 months,Optional,—,Max 80 chars
Availability & Inventory,Describe current stock levels and key timing signals for product availability. Accurate inventory data ensures users only see items they can actually purchase.,availability,Enum,"in_stock, out_of_stock, preorder",Product availability,in_stock,Required,—,Lower-case string
Availability & Inventory,,availability_date,Date,ISO 8601,Availability date if preorder,2025-12-01,Required if availability=preorder,—,Must be future date
Availability & Inventory,,inventory_quantity,Integer,—,Stock count,25,Required,—,Non-negative integer
Availability & Inventory,,expiration_date,Date,ISO 8601,Remove product after date,2025-12-01,Optional,—,Must be future date
Availability & Inventory,,pickup_method,Enum,"in_store, reserve, not_supported",Pickup options,in_store,Optional,—,Lower-case string
Availability & Inventory,,pickup_sla,Number + duration,—,Pickup SLA,1 day,Optional,Requires pickup_method,Positive integer + unit
Variants,"Specify variant relationships and distinguishing attributes such as color or size. These fields allow ChatGPT to group related SKUs and surface variant-specific details. The item_group_id value should represent how the product is presented on the merchant's website. If you are submitting variant rows you must include the same item_group_id for every variant.",item_group_id,String,—,Variant group ID,SHOE123GROUP,Required if variants exist,—,Max 70 chars
Variants,,item_group_title,String (UTF-8 text),—,Group product title,Men's Trail Running Shoes,Optional,—,Max 150 chars; avoid all-caps
Variants,,color,String,—,Variant color,Blue,Recommended (apparel),—,Max 40 chars
Variants,,size,String,—,Variant size,10,Recommended (apparel),—,Max 20 chars
Variants,,size_system,Country code,ISO 3166,Size system,US,Recommended (apparel),—,2-letter country code
Variants,,gender,Enum,"male, female, unisex",Gender target,male,Recommended (apparel),—,Lower-case string
Variants,,offer_id,String,—,Offer ID (SKU+seller+price),SKU12345-Blue-79.99,Recommended,—,Unique within feed
Variants,,Custom_variant1_category,String,—,Custom variant dimension 1,Size_Type,Optional,—,—
Variants,,Custom_variant1_option,String,—,Custom variant 1 option,Petite / Tall / Maternity,Optional,—,—
Variants,,Custom_variant2_category,String,—,Custom variant dimension 2,Wood_Type,Optional,—,—
Variants,,Custom_variant2_option,String,—,Custom variant 2 option,Oak / Mahogany / Walnut,Optional,—,—
Variants,,Custom_variant3_category,String,—,Custom variant dimension 3,Cap_Type,Optional,—,—
Variants,,Custom_variant3_option,String,—,Custom variant 3 option,Snapback / Fitted,Optional,—,—
Fulfillment,Outline shipping methods costs and estimated delivery times. Providing detailed shipping information helps users understand fulfillment options upfront.,shipping,String,country:region:service_class:price,Shipping method/cost/region,US:CA:Overnight:16.00 USD,Required where applicable,—,Multiple entries allowed; use colon separators
Fulfillment,,delivery_estimate,Date,ISO 8601,Estimated arrival date,2025-08-12,Optional,—,Must be future date
Merchant Info,Identify the seller and link to any relevant merchant policies or storefront pages. This ensures proper attribution and enables users to review seller credentials.,seller_name,String,—,Seller name,Example Store,Required / Display,—,Max 70 chars
Merchant Info,,seller_url,URL,RFC 1738,Seller page,https://example.com/store,Required,—,HTTPS preferred
Merchant Info,,seller_privacy_policy,URL,RFC 1738,Seller-specific policies,https://example.com/privacy,"Required, if enabled_checkout is true",—,HTTPS preferred
Merchant Info,,seller_tos,URL,RFC 1738,Seller-specific terms of service,https://example.com/terms,"Required, if enabled_checkout is true",—,HTTPS preferred
Returns,Provide return policies and time windows to set clear expectations for buyers. Transparent return data builds trust and reduces post-purchase confusion.,return_policy,URL,RFC 1738,Return policy URL,https://example.com/returns,Required,—,HTTPS preferred
Returns,,return_window,Integer,Days,Days allowed for return,30,Required,—,Positive integer
Performance Signals,Share popularity and return-rate metrics where available. These signals can be used to enhance ranking and highlight high-performing products.,popularity_score,Number,—,Popularity indicator,4.7,Recommended,—,0–5 scale or merchant-defined
Performance Signals,,return_rate,Number,Percentage,Return rate,2%,Recommended,—,0–100%
Compliance,Include regulatory warnings disclaimers or age restrictions. Compliance fields help meet legal obligations and protect consumers.,warning / warning_url,String / URL,—,Product disclaimers,"Contains lithium battery, or CA Prop 65 warning",Recommended for Checkout,—,If URL must resolve HTTP 200
Compliance,,age_restriction,Number,—,Minimum purchase age,21,Recommended,—,Positive integer
Reviews and Q&A,Supply aggregated review statistics and frequently asked questions. User-generated insights strengthen credibility and help shoppers make informed decisions.,product_review_count,Integer,—,Number of product reviews,254,Recommended,—,Non-negative
Reviews and Q&A,,product_review_rating,Number,—,Average review score,4.6,Recommended,—,0–5 scale
Reviews and Q&A,,store_review_count,Integer,—,Number of brand/store reviews,2000,Optional,—,Non-negative
Reviews and Q&A,,store_review_rating,Number,—,Average store rating,4.8,Optional,—,0–5 scale
Reviews and Q&A,,q_and_a,String,—,FAQ content,Q: Is this waterproof? A: Yes,Recommended,—,Plain text
Reviews and Q&A,,raw_review_data,String,—,Raw review payload,—,Recommended,—,May include JSON blob
Related Products,List products that are commonly bought together or act as substitutes. This enables basket-building recommendations and cross-sell opportunities.,related_product_id,String,—,Associated product IDs,SKU67890,Recommended,—,Comma-separated list allowed
Related Products,,relationship_type,Enum,"part_of_set, required_part, often_bought_with, substitute, different_brand, accessory",Relationship type,part_of_set,Recommended,—,Lower-case string
Geo Tagging,Indicate any region-specific pricing or availability overrides. Geo data allows ChatGPT to present accurate offers and stock status by location.,geo_price,Number + currency,Region-specific price,Price by region,79.99 USD (California),Recommended,—,Must include ISO 4217 currency
Geo Tagging,,geo_availability,String,Region-specific availability,Availability per region,"in_stock (Texas), out_of_stock (New York)",Recommended,—,Regions must be valid ISO 3166 codes


